Date,Open,High,Low,Close,Volume
2016-07-07 00:00:00,1363.46,1370.67,1350.8,1359.11,138478
2016-07-08 00:00:00,1359.19,1370.33,1335.35,1366.2,138220
2016-07-11 00:00:00,1367.34,1375.08,1350.85,1353.86,160880
2016-07-12 00:00:00,1354.97,1357.63,1330.04,1330.04,146393
2016-07-13 00:00:00,1332.83,1345.22,1327.49,1342.57,145069
2016-07-14 00:00:00,1343.44,1347.09,1320.24,1335.01,164326
2016-07-15 00:00:00,1335.67,1338.76,1322.49,1337.2,136588
2016-07-18 00:00:00,1332.84,1335.46,1323.43,1328.69,117815
2016-07-19 00:00:00,1328.51,1335.0,1325.61,1331.84,103607
2016-07-20 00:00:00,1331.59,1338.24,1312.62,1315.71,111087
2016-07-21 00:00:00,1315.82,1333.86,1310.82,1329.22,139161
2016-07-22 00:00:00,1330.86,1333.73,1319.64,1321.92,127319
2016-07-25 00:00:00,1322.21,1323.7,1312.32,1315.62,119987
2016-07-26 00:00:00,1315.32,1324.43,1313.74,1320.13,117575
2016-07-27 00:00:00,1320.02,1342.36,1315.8,1339.89,111555
2016-07-28 00:00:00,1338.93,1345.59,1332.44,1335.31,110288
2016-07-29 00:00:00,1335.45,1354.96,1328.51,1350.75,147095
2016-08-01 00:00:00,1348.96,1354.82,1346.22,1352.73,91976
2016-08-02 00:00:00,1353.4,1367.19,1347.08,1363.33,103157
2016-08-03 00:00:00,1363.29,1366.37,1354.14,1357.84,87317
2016-08-04 00:00:00,1357.83,1364.93,1349.09,1361.44,103960
2016-08-05 00:00:00,1360.43,1364.65,1334.68,1336.16,96304
2016-08-08 00:00:00,1335.1,1338.22,1329.86,1335.43,95322
2016-08-09 00:00:00,1335.21,1342.55,1330.54,1340.38,75046
2016-08-10 00:00:00,1340.28,1357.17,1339.38,1346.48,101899
2016-08-11 00:00:00,1346.96,1353.29,1335.71,1338.6,96487
2016-08-12 00:00:00,1338.43,1356.33,1333.34,1336.29,124713
2016-08-15 00:00:00,1337.36,1343.79,1335.74,1339.34,83016
2016-08-16 00:00:00,1339.52,1358.04,1339.43,1346.22,110176
2016-08-17 00:00:00,1345.21,1351.62,1336.08,1348.62,93550
2016-08-18 00:00:00,1348.82,1356.0,1346.04,1352.66,117509
2016-08-19 00:00:00,1352.16,1352.8,1337.73,1340.94,97778
2016-08-22 00:00:00,1340.5,1341.16,1331.74,1338.77,123642
2016-08-23 00:00:00,1339.04,1344.68,1335.24,1337.97,103099
2016-08-24 00:00:00,1337.8,1340.04,1323.69,1324.41,105470
2016-08-25 00:00:00,1324.42,1327.03,1318.0,1321.61,93159
2016-08-26 00:00:00,1321.43,1342.11,1318.31,1321.18,120652
2016-08-29 00:00:00,1320.51,1325.07,1314.99,1323.3,112966
2016-08-30 00:00:00,1323.31,1325.4,1309.24,1310.9,101973
2016-08-31 00:00:00,1311.71,1316.09,1304.31,1308.74,98999
2016-09-01 00:00:00,1308.74,1315.06,1302.47,1313.46,97646
2016-09-02 00:00:00,1313.85,1329.89,1305.41,1324.72,97893
2016-09-05 00:00:00,1323.66,1328.55,1321.72,1326.88,60050
2016-09-06 00:00:00,1326.49,1352.46,1324.86,1349.83,109538
2016-09-07 00:00:00,1349.02,1352.53,1342.68,1344.82,91126
2016-09-08 00:00:00,1344.93,1349.32,1335.7,1337.58,105490
